Exp SGD / Hoja de Ruta / Otro,ÍTEM ACTIVIDADES POR  ATENDER - ASUNTOS ( En Orden de Prelación),ACCIÓN(es) A REALIZAR ,DEPENDENCIA RENIEC / ENTIDAD / PERSONA NATURAL - JURIDICA ,DETALLE,EQUIPO POR  SUBSISTEMA,EQUIPO  POR PROCESO,SOCIO (S) ESTRAT  RESPONSABLE(S),ENTREGABLE / MEDIO DE VERIFICACIÓN,PLAZO - HASTA,SITUACIÓN ,ESTADO,AVANCE / OBS / RECOMENDACIÓN / NOTA
,CONTRATACIÓN CAS : 876 Posiciones,"1. Elaborar el Informe  Reporte  Estado Situacional // 2. Elaborara Matriz de Gestión Seguimiento y Control de Contratación CAS // 3. Culminar el Proceso de 22 mil postulantes EC ,Entrevistas // 4. Resolver Recursos // 5. Elaborar Actas Finales // 6. Elaborar Contratos  // Realizar Inducciones Org, SST, Puesto // 6. Realizar Eval Periodo de Prueba ",RENIEC,,Ss3: GESTIÓN DEL EMPLEO,Ss3-P5.- Requerimiento / Selección,ANTONIO,"1. Informe  Reporte  Estado Situacional // 2. Matriz de Gestión Seguimiento y Control de Contratación CAS // 3. Actas de Resultados de EC, Entrevistas, Res Finales // 4. Contratos CAS // 5. Reportes de Inducciones Org, SST, Puesto // 6. ",,,,
,CONTRATACIÓN DIRECTA CAS ELECTORALES (03 meses),,,,Ss3: GESTIÓN DEL EMPLEO,,,,,,,
,"GESTIÓN DE CONTRATOS CAS, RENOVACIONES ADENDAS ","Gestionar y Notificar 41 Adendas, Contratos CAS",,,,,,,,,,
,REGULARIZACIÓN DE PAGOS EN EXCESO Y FALTANTE,Gestionar Descuentos y Reintegros a Personal,RENIEC,Regularizado en planillas CAS Abril 2026,Ss2:ORGANIZACIÓN DEL TRABAJO Y DISTRIBUCIÓN,Ss5-P15.- Administración de Remuneraciones - Compensaciones,DIANA LINARES,1.Reporte de planillas 2. Recibos de transferencia al Banco de la Nación,,MUY URGENTE,ATENDIDO/FINALIZADO,
,LIQUIDACION CAS (PAGO DE VACACIONES TRUNCAS Y/O NO GOZADDAS) 18 BAJAS DE MARZO,Gestionar pago a ex servidores,RENIEC,Procesar planilla / Solicitar habilitación y certificación,Ss2:ORGANIZACIÓN DEL TRABAJO Y DISTRIBUCIÓN,Ss5-P15.- Administración de Remuneraciones - Compensaciones,DIANA LINARES,Reporte de planillas de pago,,MUY URGENTE,EN PROCESO DE ATENCION,"Se encuentra con Benjamín Caparó, quien debe solicitar presupuesto"
,LIQUIDACIÓN CAS - 15 SERVIDORES FALLECIDOS PERIODO 2020-2025),a la espera de la sucesión intestada para iniciar proceso de pago,RENIEC,Procesar planilla / Solicitar habilitación y certificación,Ss2:ORGANIZACIÓN DEL TRABAJO Y DISTRIBUCIÓN,Ss5-P15.- Administración de Remuneraciones - Compensaciones,DIANA LINARES,Reporte de planillas de pago,,URGENTE,POR INICIAR ATENCION,"Se inicia atención con la presentación de la sucesión intestada. A abril 2024, tenemos 1 caso que está por atenderse."
,PAGO PENDIENTES ( hace 5 años aprox ) DE LIQUIDACIONES 728,"Gestionar ( dar respuesta a OPP, otros) Pagos hasta fase de Girado (Contablidad)",,,,,,,,,,
,PAGO PENDIENTES ( hace 1 año aprox) DE COMP VACACIONAL CAS,"Gestionar (dar respuesta a OPP, otros) Pagos hasta fase de Girado (Contablidad)",,,,,,,,,,
,PAGO DE ASIF FAMILIAR A PERS 728(antes CAS),,,,,,,,,,,
,LAUDO ARBITRAL : Pago BONO DICIEMBRE,,,,,,,,,,,
,"MANDATOS JUDICIALES : 311 CAP , 280 ",Gestionar recursos para pago de cumplimiento y reposiciones por MJ,,,,,,,,,,
,CONTROL POSTERIOR Desiganciones y Contratados,,,,,,,,,,,
,REPORTE DEBIDA DILIGENCIA - PIDE ( No Afiliados a Part Polit),,,,,,,,,,,
